rho,theta,tick,phi
201197,20580,1011,498
202594,21240,1023,497
204197,21980,1036,497
205994,22800,1050,498
207997,23700,1065,500
210194,24680,1081,503
212597,25740,1098,507
215194,26880,1116,512
217997,28100,1135,518
220994,29400,1155,525
224197,30780,1176,533
227600,32240,1198,542
231197,33780,1221,552
234994,35400,1245,563
238991,37100,1270,575
243188,38880,1296,588
247591,40740,1323,602
252188,42680,1351,617
256991,44700,1380,633
261988,46800,1410,650
267185,48980,1441,668
272588,51240,1473,687
278185,53580,1506,707
283988,56000,1540,728
289991,58500,1575,750
296194,61080,1611,773
302597,63740,1648,797
309200,66480,1686,822
316003,69300,1725,848
323000,72200,1765,875
330197,75180,1806,903
337594,78240,1848,932
345191,81380,1891,962
352994,84600,1935,993
360991,87900,1980,1025
369194,91280,2026,1058
377591,94740,2073,1092
386194,98280,2121,1127
394991,101900,2170,1163
403988,105600,2220,1200
413185,109380,2271,1238
422582,113240,2323,1277
432185,117180,2376,1317
441988,121200,2430,1358
451991,125300,2485,1400
462194,129480,2541,1443
472591,133740,2598,1487
483188,138080,2656,1532
493985,142500,2715,1578
504988,147000,2775,1625
516191,151580,2836,1673
527588,156240,2898,1722
539191,160980,2961,1772
550988,165800,3025,1823
562991,170700,3090,1875
575194,175680,3156,1928
587591,180740,3223,1982
600194,185880,3291,2037
612997,191100,3360,2093
626000,196400,3430,2150
639203,201780,3501,2208
652600,207240,3573,2267
666203,212780,3646,2327
680006,218400,3720,2388
